Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,CustomerName,City,State,Country,Continent,Product Name,Brand,Category,Subcategory,Unit Cost USD,Unit Price USD,Revenue_USD,Cost_USD,Profit_USD
372004,1,07-01-2016 00:00,27-02-2021 00:00,711449,30,922,9,EUR,Female,Amina Pagnotto,Ghiare Di Corniglio,Parma,Italy,Europe,SV USB Data Cable E600 Grey,Southridge Video,Computers,Computers Accessories,0.48,0.95,8.55,4.32,4.23
372005,1,07-01-2016 00:00,26-02-2021 00:00,302130,9,411,3,CAD,Male,Scott Ramirez,Toronto,Ontario,Canada,North America,Proseware Laptop15 M510 White,Proseware,Computers,Laptops,321.44,699,2097,964.32,1132.68
372005,2,07-01-2016 00:00,26-02-2021 00:00,302130,9,75,4,CAD,Male,Scott Ramirez,Toronto,Ontario,Canada,North America,NT Bluetooth Active Headphones E202 White,Northwind Traders,Audio,Bluetooth Headphones,17.45,37.95,151.8,69.8,82
372005,3,07-01-2016 00:00,26-02-2021 00:00,302130,9,1620,3,CAD,Male,Scott Ramirez,Toronto,Ontario,Canada,North America,Contoso DVD Player M140 Gold,Contoso,"Music, Movies and Audio Books",Movie DVD,28.05,60.99,182.97,84.15,98.82
372005,4,07-01-2016 00:00,26-02-2021 00:00,302130,9,2366,5,CAD,Male,Scott Ramirez,Toronto,Ontario,Canada,North America,Contoso Air conditioner 7000BTU E0260 Silver,Contoso,Home Appliances,Air Conditioners,152.94,299.99,1499.95,764.7,735.25
372005,5,07-01-2016 00:00,26-02-2021 00:00,302130,9,1652,8,CAD,Male,Scott Ramirez,Toronto,Ontario,Canada,North America,Contoso DVD 12-Inch Player Portable M400 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,82.77,179.99,1439.92,662.16,777.76
372005,6,07-01-2016 00:00,26-02-2021 00:00,302130,9,1614,8,CAD,Male,Scott Ramirez,Toronto,Ontario,Canada,North America,SV DVD 14-Inch Player Portable L100 White,Southridge Video,"Music, Movies and Audio Books",Movie DVD,86.14,259.99,2079.92,689.12,1390.8
372006,1,07-01-2016 00:00,15-01-2016 00:00,2095742,0,125,2,USD,Female,Michelle Krüger,Gooding,Idaho,United States,North America,"Adventure Works 19 Color Digital TV E35 Silver""",Adventure Works,TV and Video,Televisions,73.11,143.4,286.8,146.22,140.58
372007,1,07-01-2016 00:00,25-02-2021 00:00,1982994,61,1148,4,USD,Female,Jana Brychtová,Nashville,Tennessee,United States,North America,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,Fabrikam,Cameras and camcorders,Camcorders,215.15,422,1688,860.6,827.4
372008,1,07-01-2016 00:00,25-02-2021 00:00,1214363,53,183,1,USD,Male,William Gonzalez,Edison,Georgia,United States,North America,SV 16xDVD M330 Silver,Southridge Video,TV and Video,VCD & DVD,50.13,109,109,50.13,58.87
372008,3,07-01-2016 00:00,25-02-2021 00:00,1214363,53,1665,1,USD,Male,William Gonzalez,Edison,Georgia,United States,North America,MGS Hand Games for 12-16 boys E600 Yellow,Tailspin Toys,Games and Toys,Boxed Games,2.54,4.99,4.99,2.54,2.45
372010,1,07-01-2016 00:00,27-02-2021 00:00,784075,29,90,7,EUR,Female,Gustava Palerma,Santadi,Cagliari,Italy,Europe,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Audio,Bluetooth Headphones,49.69,149.99,1049.93,347.83,702.1
372011,1,07-01-2016 00:00,27-02-2021 00:00,739625,29,1572,1,EUR,Female,Caterina Lettiere,San Marzano Oliveto,Asti,Italy,Europe,SV DVD Player M110 Silver,Southridge Video,"Music, Movies and Audio Books",Movie DVD,26.67,57.99,57.99,26.67,31.32
372012,1,07-01-2016 00:00,20-02-2021 00:00,195521,6,468,1,AUD,Male,Mitchell Saville,DURACK,Western Australia,Australia,Australia,Proseware LCD19W M100 Black,Proseware,Computers,Monitors,82.32,179,179,82.32,96.68
372012,2,07-01-2016 00:00,20-02-2021 00:00,195521,6,1560,6,AUD,Male,Mitchell Saville,DURACK,Western Australia,Australia,Australia,The Phone Company PDA Phone 3.7 inches M340 White,The Phone Company,Cell phones,Smart phones & PDAs,151.76,330,1980,910.56,1069.44
372012,3,07-01-2016 00:00,20-02-2021 00:00,195521,6,1094,2,AUD,Male,Mitchell Saville,DURACK,Western Australia,Australia,Australia,Contoso SLR Camera M144 Gold,Contoso,Cameras and camcorders,Digital SLR Cameras,152.68,332,664,305.36,358.64
372012,4,07-01-2016 00:00,20-02-2021 00:00,195521,6,171,4,AUD,Male,Mitchell Saville,DURACK,Western Australia,Australia,Australia,SV 16xDVD E340 Black,Southridge Video,TV and Video,VCD & DVD,45.53,99,396,182.12,213.88
372012,5,07-01-2016 00:00,20-02-2021 00:00,195521,6,2265,2,AUD,Male,Mitchell Saville,DURACK,Western Australia,Australia,Australia,WWI Chandelier M615 Blue,Wide World Importers,Home Appliances,Lamps,105.76,229.99,459.98,211.52,248.46
372013,1,07-01-2016 00:00,24-02-2021 00:00,1042966,38,1259,2,GBP,Male,Sebastian Franklin,GOGINAN,Ceredigion,United Kingdom,Europe,Contoso Cyber Shot Digital Cameras Adapter E306 Black,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,20.39,39.99,79.98,40.78,39.2
372016,1,07-01-2016 00:00,24-02-2021 00:00,1170323,42,1581,2,GBP,Male,Kieran Howarth,TORBEG,Aberdeenshire,United Kingdom,Europe,SV DVD Recorder L240 Gold,Southridge Video,"Music, Movies and Audio Books",Movie DVD,72.56,219,438,145.12,292.88
372016,2,07-01-2016 00:00,24-02-2021 00:00,1170323,42,6,3,GBP,Male,Kieran Howarth,TORBEG,Aberdeenshire,United Kingdom,Europe,Contoso 2G MP3 Player E200 Black,Contoso,Audio,MP4&MP3,11,21.57,64.71,33,31.71
373000,1,08-01-2016 00:00,14-01-2016 00:00,1367439,0,2509,3,USD,Female,Tammy Overall,Escondido,California,United States,North America,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Cell phones,Cell phones Accessories,2.07,4.06,12.18,6.21,5.97
373000,2,08-01-2016 00:00,14-01-2016 00:00,1367439,0,716,3,USD,Female,Tammy Overall,Escondido,California,United States,North America,Proseware High Speed Laser M2000 White,Proseware,Computers,"Printers, Scanners & Fax",69.25,209,627,207.75,419.25
373002,1,08-01-2016 00:00,25-02-2021 00:00,1750554,48,1859,5,USD,Female,Toni Morel,Bloomfield Township,Michigan,United States,North America,NT Washer & Dryer 24in M2400 Blue,Northwind Traders,Home Appliances,Washers & Dryers,836.45,1818.9,9094.5,4182.25,4912.25
373003,1,08-01-2016 00:00,25-02-2021 00:00,2082534,56,67,3,USD,Male,Sergiusz Duda,Maple Shade,New Jersey,United States,North America,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Audio,Bluetooth Headphones,13.1,25.69,77.07,39.3,37.77
373004,1,08-01-2016 00:00,27-02-2021 00:00,460587,24,1765,3,EUR,Male,Torsten Weisz,Viersen Beberich,Nordrhein-Westfalen,Germany,Europe,MGS Age of Empires Expansion: The Rise of Rome X900,Tailspin Toys,Games and Toys,Download Games,198.39,598.8,1796.4,595.17,1201.23
373005,1,08-01-2016 00:00,25-02-2021 00:00,1763365,65,342,2,USD,Female,Patricia McCray,Wayne,New Jersey,United States,North America,Fabrikam Laptop16 M6000 Black,Fabrikam,Computers,Laptops,275.46,599,1198,550.92,647.08
373005,2,08-01-2016 00:00,25-02-2021 00:00,1763365,65,1073,1,USD,Female,Patricia McCray,Wayne,New Jersey,United States,North America,"A. Datum SLR Camera 35 X358 Orange""",A. Datum,Cameras and camcorders,Digital SLR Cameras,194.82,588,588,194.82,393.18
373007,1,08-01-2016 00:00,14-01-2016 00:00,351747,0,103,2,CAD,Female,Irene Lee,Toronto,Ontario,Canada,North America,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Audio,Bluetooth Headphones,52.88,115,230,105.76,124.24
373007,2,08-01-2016 00:00,14-01-2016 00:00,351747,0,1455,5,CAD,Female,Irene Lee,Toronto,Ontario,Canada,North America,The Phone Company Pen Touch Screen Phones M320 Gold,The Phone Company,Cell phones,Touch Screen Phones,133.36,290,1450,666.8,783.2
373007,3,08-01-2016 00:00,14-01-2016 00:00,351747,0,1902,2,CAD,Female,Irene Lee,Toronto,Ontario,Canada,North America,Fabrikam Refrigerator 1.7CuFt E1200 White,Fabrikam,Home Appliances,Refrigerators,66.27,129.99,259.98,132.54,127.44
373008,1,08-01-2016 00:00,27-02-2021 00:00,536845,23,535,3,EUR,Female,Barbara Bürger,Leipzig,Freistaat Sachsen,Germany,Europe,WWI LCD19W M100 White,Wide World Importers,Computers,Monitors,82.32,179,537,246.96,290.04
373008,2,08-01-2016 00:00,27-02-2021 00:00,536845,23,2089,3,EUR,Female,Barbara Bürger,Leipzig,Freistaat Sachsen,Germany,Europe,Contoso Water Heater 1.5GPM E0800 White,Contoso,Home Appliances,Water Heaters,131.28,257.5,772.5,393.84,378.66
373008,3,08-01-2016 00:00,27-02-2021 00:00,536845,23,1612,3,EUR,Female,Barbara Bürger,Leipzig,Freistaat Sachsen,Germany,Europe,SV DVD 12-Inch Player Portable M400 White,Southridge Video,"Music, Movies and Audio Books",Movie DVD,82.77,179.99,539.97,248.31,291.66
373008,4,08-01-2016 00:00,27-02-2021 00:00,536845,23,65,2,EUR,Female,Barbara Bürger,Leipzig,Freistaat Sachsen,Germany,Europe,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Audio,Recording Pen,83.24,181,362,166.48,195.52
373009,1,08-01-2016 00:00,19-01-2016 00:00,1064519,0,1589,4,GBP,Female,Matilda Dobson,SHOLDEN,Kent,United Kingdom,Europe,SV DVD 38 DVD Storage Binder E25 Silver,Southridge Video,"Music, Movies and Audio Books",Movie DVD,5.09,9.99,39.96,20.36,19.6
373010,1,08-01-2016 00:00,27-02-2021 00:00,538801,27,2492,6,EUR,Female,Christine Kluge,Staßfurt,Sachsen-Anhalt,Germany,Europe,Cigarette Lighter Adapter for Contoso Phones E110 White,Contoso,Cell phones,Cell phones Accessories,12.74,24.99,149.94,76.44,73.5
373010,2,08-01-2016 00:00,27-02-2021 00:00,538801,27,2288,8,EUR,Female,Christine Kluge,Staßfurt,Sachsen-Anhalt,Germany,Europe,Proseware Chandelier M0815 Silver,Proseware,Home Appliances,Lamps,123.47,268.5,2148,987.76,1160.24
373010,3,08-01-2016 00:00,27-02-2021 00:00,538801,27,56,2,EUR,Female,Christine Kluge,Staßfurt,Sachsen-Anhalt,Germany,Europe,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Audio,Recording Pen,98.07,296,592,196.14,395.86
373011,1,08-01-2016 00:00,20-02-2021 00:00,82415,4,440,2,AUD,Male,Zac McColl,WOODHILL,Queensland,Australia,Australia,WWI Desktop PC1.60 E1600 Silver,Wide World Importers,Computers,Desktops,112.14,219.95,439.9,224.28,215.62
374000,1,09-01-2016 00:00,25-02-2021 00:00,1971983,48,737,5,USD,Male,Lucas Ackerman,Buffalo Grove,Illinois,United States,North America,"Proseware Color Ink Jet Fax, Copier, Phone M250 Green",Proseware,Computers,"Printers, Scanners & Fax",73.12,159,795,365.6,429.4
374000,2,09-01-2016 00:00,25-02-2021 00:00,1971983,48,1735,3,USD,Male,Lucas Ackerman,Buffalo Grove,Illinois,United States,North America,MGS Flight Simulator 2004: A Century of Flight E111,Tailspin Toys,Games and Toys,Download Games,14.28,28,84,42.84,41.16
374000,3,09-01-2016 00:00,25-02-2021 00:00,1971983,48,103,3,USD,Male,Lucas Ackerman,Buffalo Grove,Illinois,United States,North America,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Audio,Bluetooth Headphones,52.88,115,345,158.64,186.36
374000,5,09-01-2016 00:00,25-02-2021 00:00,1971983,48,81,2,USD,Male,Lucas Ackerman,Buffalo Grove,Illinois,United States,North America,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Audio,Bluetooth Headphones,18.65,40.55,81.1,37.3,43.8
374000,6,09-01-2016 00:00,25-02-2021 00:00,1971983,48,1624,1,USD,Male,Lucas Ackerman,Buffalo Grove,Illinois,United States,North America,Contoso DVD Recorder L220 White,Contoso,"Music, Movies and Audio Books",Movie DVD,72.56,219,219,72.56,146.44
374001,1,09-01-2016 00:00,25-02-2021 00:00,2050933,47,1429,1,USD,Female,Veronika Lovric,Joseph City,Arizona,United States,North America,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey,The Phone Company,Cell phones,Touch Screen Phones,132.9,289,289,132.9,156.1
374001,2,09-01-2016 00:00,25-02-2021 00:00,2050933,47,545,1,USD,Female,Veronika Lovric,Joseph City,Arizona,United States,North America,Proseware Screen 125in X1609 Black,Proseware,Computers,Projectors & Screens,152.08,459,459,152.08,306.92
374002,1,09-01-2016 00:00,26-02-2021 00:00,320030,8,1991,8,CAD,Female,Sandra Seymore,Thessalon,Ontario,Canada,North America,Fabrikam Microwave 1.6CuFt M1250 Silver,Fabrikam,Home Appliances,Microwaves,82.77,179.99,1439.92,662.16,777.76
374002,2,09-01-2016 00:00,26-02-2021 00:00,320030,8,1667,8,CAD,Female,Sandra Seymore,Thessalon,Ontario,Canada,North America,MGS Hand Games for kids E300 Black,Tailspin Toys,Games and Toys,Boxed Games,2.8,5.5,44,22.4,21.6
374002,3,09-01-2016 00:00,26-02-2021 00:00,320030,8,2098,3,CAD,Female,Sandra Seymore,Thessalon,Ontario,Canada,North America,Contoso Water Heater 2.6GPM E0900 Green,Contoso,Home Appliances,Water Heaters,258.99,508,1524,776.97,747.03
374002,4,09-01-2016 00:00,26-02-2021 00:00,320030,8,1695,1,CAD,Female,Sandra Seymore,Thessalon,Ontario,Canada,North America,SV Hand Games for 12-16 boys E60 Black,Southridge Video,Games and Toys,Boxed Games,2.54,4.98,4.98,2.54,2.44
374003,1,09-01-2016 00:00,24-02-2021 00:00,1188400,38,1606,1,GBP,Female,Eva Henry,HARDWICK,Aylesbury Vale,United Kingdom,Europe,SV DVD 9-Inch Player Portable M300 Silver,Southridge Video,"Music, Movies and Audio Books",Movie DVD,73.57,159.99,159.99,73.57,86.42
374005,1,09-01-2016 00:00,26-02-2021 00:00,239647,8,1197,2,CAD,Female,Jane Matthews,Pointe Au Baril,Ontario,Canada,North America,Fabrikam Budget Moviemaker 1/2'' 3mm E300 Grey,Fabrikam,Cameras and camcorders,Camcorders,220.25,432,864,440.5,423.5
374006,1,09-01-2016 00:00,25-02-2021 00:00,1387959,65,1622,6,USD,Female,Christine Abernathy,Beltsville,Virginia,United States,North America,Contoso DVD Recorder L200 Black,Contoso,"Music, Movies and Audio Books",Movie DVD,72.56,219,1314,435.36,878.64
374007,1,09-01-2016 00:00,27-02-2021 00:00,800548,31,1631,3,EUR,Male,Johnathan Dubbink,Gorssel,Gelderland,Netherlands,Europe,Contoso DVD 55DVD Storage Binder M56 Black,Contoso,"Music, Movies and Audio Books",Movie DVD,5.82,12.66,37.98,17.46,20.52
374008,1,09-01-2016 00:00,27-02-2021 00:00,789641,29,1217,4,EUR,Male,Leo Beneventi,Santa Lucia Di Cava,Salerno,Italy,Europe,Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Black,Fabrikam,Cameras and camcorders,Camcorders,255.68,556,2224,1022.72,1201.28
374009,1,09-01-2016 00:00,27-02-2021 00:00,728541,30,538,3,EUR,Female,Noemi Sabbatini,Carchitti,Roma,Italy,Europe,WWI CRT17 E106 White,Wide World Importers,Computers,Monitors,50.47,99,297,151.41,145.59
374010,1,09-01-2016 00:00,27-02-2021 00:00,665776,12,1632,3,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,Contoso DVD 48 DVD Storage Binder M50 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,8.27,17.99,53.97,24.81,29.16
374010,2,09-01-2016 00:00,27-02-2021 00:00,665776,12,1048,1,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,A. Datum SLR Camera X136 Silver,A. Datum,Cameras and camcorders,Digital SLR Cameras,141.47,427,427,141.47,285.53
374010,3,09-01-2016 00:00,27-02-2021 00:00,665776,12,1681,7,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,MGS Hand Games men M300 Silver,Tailspin Toys,Games and Toys,Boxed Games,3.17,6.89,48.23,22.19,26.04
374010,4,09-01-2016 00:00,27-02-2021 00:00,665776,12,2104,4,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,Contoso Water Heater 1.5GPM E0800 Silver,Contoso,Home Appliances,Water Heaters,131.28,257.5,1030,525.12,504.88
374010,5,09-01-2016 00:00,27-02-2021 00:00,665776,12,1673,2,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,MGS Hand Games for kids E300 Red,Tailspin Toys,Games and Toys,Boxed Games,2.8,5.5,11,5.6,5.4
374010,6,09-01-2016 00:00,27-02-2021 00:00,665776,12,1206,2,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey,Fabrikam,Cameras and camcorders,Camcorders,516.86,1560,3120,1033.72,2086.28
374010,7,09-01-2016 00:00,27-02-2021 00:00,665776,12,961,5,EUR,Female,Mavise Rochefort,CERGY,Île-de-France,France,Europe,A. Datum Ultra Compact Digital Camera M190 Grey,A. Datum,Cameras and camcorders,Digital Cameras,75.88,165,825,379.4,445.6
374011,1,09-01-2016 00:00,20-02-2021 00:00,174622,5,1256,8,AUD,Male,Jackson Glenny,Amherst,Victoria,Australia,Australia,Contoso General Carrying Case E304 Blue,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,10.19,19.99,159.92,81.52,78.4
374012,1,09-01-2016 00:00,20-01-2016 00:00,1758208,0,1280,1,USD,Male,Christopher Lopp,Plymouth,Indiana,United States,North America,Contoso General Soft Carrying Case E318 Silver,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,7.64,14.99,14.99,7.64,7.35
374012,2,09-01-2016 00:00,20-01-2016 00:00,1758208,0,1276,1,USD,Male,Christopher Lopp,Plymouth,Indiana,United States,North America,Contoso Digital Cameras Lightweight Tripod E316 Pink,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,26.58,52.13,52.13,26.58,25.55
374012,3,09-01-2016 00:00,20-01-2016 00:00,1758208,0,2454,5,USD,Male,Christopher Lopp,Plymouth,Indiana,United States,North America,Litware Desktop Wind Tower Oscillating Fan E1201 White,Litware,Home Appliances,Fans,15.29,29.99,149.95,76.45,73.5
374012,4,09-01-2016 00:00,20-01-2016 00:00,1758208,0,2108,1,USD,Male,Christopher Lopp,Plymouth,Indiana,United States,North America,Contoso Water Heater 2.6GPM E0900 Grey,Contoso,Home Appliances,Water Heaters,258.99,508,508,258.99,249.01
374013,1,09-01-2016 00:00,27-02-2021 00:00,733080,29,533,5,EUR,Male,Principio Ferri,Ospedaletto Di Gemona,Udine,Italy,Europe,WWI LCD20W M250 White,Wide World Importers,Computers,Monitors,128.3,279,1395,641.5,753.5
374013,2,09-01-2016 00:00,27-02-2021 00:00,733080,29,1067,10,EUR,Male,Principio Ferri,Ospedaletto Di Gemona,Udine,Italy,Europe,"A. Datum SLR Camera 35 M358 Pink""",A. Datum,Cameras and camcorders,Digital SLR Cameras,155.43,338,3380,1554.3,1825.7
374013,3,09-01-2016 00:00,27-02-2021 00:00,733080,29,1577,6,EUR,Male,Principio Ferri,Ospedaletto Di Gemona,Udine,Italy,Europe,SV DVD Recorder L200 Black,Southridge Video,"Music, Movies and Audio Books",Movie DVD,72.56,219,1314,435.36,878.64
374015,1,09-01-2016 00:00,25-02-2021 00:00,1451748,55,107,7,USD,Female,Sarah Olmos,Wayne,New Jersey,United States,North America,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,Audio,Bluetooth Headphones,61.16,132.99,930.93,428.12,502.81
374016,1,09-01-2016 00:00,25-02-2021 00:00,1535357,45,9,5,USD,Female,Elizabeth Williams,Los Angeles,California,United States,North America,Contoso 4G MP3 Player E400 Black,Contoso,Audio,MP4&MP3,30.58,59.99,299.95,152.9,147.05
374017,1,09-01-2016 00:00,25-02-2021 00:00,1558964,63,1630,1,USD,Male,Darren Hanson,New York,New York,United States,North America,Contoso DVD 60 DVD Storage Binder L20 Black,Contoso,"Music, Movies and Audio Books",Movie DVD,7.58,22.89,22.89,7.58,15.31
374018,1,09-01-2016 00:00,24-02-2021 00:00,1010049,38,1615,5,GBP,Male,Owen Brooks,LOWER DINCHOPE,Shropshire,United Kingdom,Europe,SV DVD 15-Inch Player Portable L200 White,Southridge Video,"Music, Movies and Audio Books",Movie DVD,96.08,289.99,1449.95,480.4,969.55
374018,2,09-01-2016 00:00,24-02-2021 00:00,1010049,38,2075,2,GBP,Male,Owen Brooks,LOWER DINCHOPE,Shropshire,United Kingdom,Europe,Contoso Microwave 1.6CuFt M0125 Red,Contoso,Home Appliances,Microwaves,82.77,179.99,359.98,165.54,194.44
374019,1,09-01-2016 00:00,20-02-2021 00:00,193216,6,1109,3,AUD,Male,Hamish Bettington,ALBERTA,Queensland,Australia,Australia,"Fabrikam SLR Camera 35 X358 Black""",Fabrikam,Cameras and camcorders,Digital SLR Cameras,144.52,436.2,1308.6,433.56,875.04
375000,1,10-01-2016 00:00,18-01-2016 00:00,1084570,0,1636,1,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,United Kingdom,Europe,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,5.82,12.66,12.66,5.82,6.84
375000,2,10-01-2016 00:00,18-01-2016 00:00,1084570,0,88,7,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,United Kingdom,Europe,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Audio,Bluetooth Headphones,49.69,149.99,1049.93,347.83,702.1
375000,3,10-01-2016 00:00,18-01-2016 00:00,1084570,0,2515,1,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,United Kingdom,Europe,Contoso In-Line Coupler E180 White,Contoso,Cell phones,Cell phones Accessories,1.71,3.35,3.35,1.71,1.64
376000,1,11-01-2016 00:00,25-02-2021 00:00,1862500,43,69,1,USD,Female,Elizabeth Turner,Philadelphia,New Jersey,United States,North America,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Audio,Bluetooth Headphones,13.1,25.69,25.69,13.1,12.59
376001,1,11-01-2016 00:00,27-02-2021 00:00,813685,32,131,1,EUR,Female,Thamar Kaagman,Lelystad,Flevoland,Netherlands,Europe,"Adventure Works 20 Analog CRT TV E45 White""",Adventure Works,TV and Video,Televisions,101.97,200,200,101.97,98.03
376001,2,11-01-2016 00:00,27-02-2021 00:00,813685,32,1604,1,EUR,Female,Thamar Kaagman,Lelystad,Flevoland,Netherlands,Europe,SV DVD 14-Inch Player Portable L100 Black,Southridge Video,"Music, Movies and Audio Books",Movie DVD,86.14,259.99,259.99,86.14,173.85
376003,1,11-01-2016 00:00,27-02-2021 00:00,797322,30,425,3,EUR,Male,Quintiliano Padovano,Presina,Padova,Italy,Europe,Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Computers,Desktops,188.13,369,1107,564.39,542.61
376003,2,11-01-2016 00:00,27-02-2021 00:00,797322,30,2112,4,EUR,Male,Quintiliano Padovano,Presina,Padova,Italy,Europe,Contoso Water Heater 4.0GPM M1250 Red,Contoso,Home Appliances,Water Heaters,363.75,791,3164,1455,1709
376003,3,11-01-2016 00:00,27-02-2021 00:00,797322,30,1297,1,EUR,Male,Quintiliano Padovano,Presina,Padova,Italy,Europe,Contoso USB Cable M250 White,Contoso,Cameras and camcorders,Cameras & Camcorders Accessories,11.5,25,25,11.5,13.5
376003,4,11-01-2016 00:00,27-02-2021 00:00,797322,30,1806,2,EUR,Male,Quintiliano Padovano,Presina,Padova,Italy,Europe,MGS Zoo Tycoon Dinosaur Digs2009 E162,Tailspin Toys,Games and Toys,Download Games,16.31,32,64,32.62,31.38
376004,1,11-01-2016 00:00,25-02-2021 00:00,1905050,45,1635,6,USD,Male,Rodrigo Azevedo,Hartford,Connecticut,United States,North America,Contoso DVD 60 DVD Storage Binder L20 Silver,Contoso,"Music, Movies and Audio Books",Movie DVD,7.58,22.89,137.34,45.48,91.86
376005,1,11-01-2016 00:00,26-02-2021 00:00,305321,8,1352,3,CAD,Male,Wilbur Clay,Regina,Saskatchewan,Canada,North America,Contoso Multi-line phones M30 White,Contoso,Cell phones,Home & Office Phones,10.57,22.99,68.97,31.71,37.26
376005,2,11-01-2016 00:00,26-02-2021 00:00,305321,8,2114,3,CAD,Male,Wilbur Clay,Regina,Saskatchewan,Canada,North America,Contoso Water Heater 1.5GPM E0800 Red,Contoso,Home Appliances,Water Heaters,131.28,257.5,772.5,393.84,378.66
376005,3,11-01-2016 00:00,26-02-2021 00:00,305321,8,418,2,CAD,Male,Wilbur Clay,Regina,Saskatchewan,Canada,North America,Adventure Works Desktop PC1.60 ED160 Silver,Adventure Works,Computers,Desktops,137.63,269.95,539.9,275.26,264.64
376005,4,11-01-2016 00:00,26-02-2021 00:00,305321,8,2096,3,CAD,Male,Wilbur Clay,Regina,Saskatchewan,Canada,North America,Contoso Water Heater 4.3GPM M1250 Green,Contoso,Home Appliances,Water Heaters,403.53,877.5,2632.5,1210.59,1421.91
377000,1,12-01-2016 00:00,25-02-2021 00:00,1589958,64,1625,6,USD,Male,Eric Johnson,New York,New York,United States,North America,Contoso DVD Recorder L230 Grey,Contoso,"Music, Movies and Audio Books",Movie DVD,72.56,219,1314,435.36,878.64
377000,2,12-01-2016 00:00,25-02-2021 00:00,1589958,64,1730,4,USD,Male,Eric Johnson,New York,New York,United States,North America,MGS Dungeon Siege: Legends of Aranna M330,Tailspin Toys,Games and Toys,Download Games,35.72,77.68,310.72,142.88,167.84
377000,3,12-01-2016 00:00,25-02-2021 00:00,1589958,64,681,2,USD,Male,Eric Johnson,New York,New York,United States,North America,Proseware Scan Jet Digital Flat Bed Scanner M300 Grey,Proseware,Computers,"Printers, Scanners & Fax",55.64,121,242,111.28,130.72
377000,4,12-01-2016 00:00,25-02-2021 00:00,1589958,64,1675,7,USD,Male,Eric Johnson,New York,New York,United States,North America,MGS Hand Games men M300 Red,Tailspin Toys,Games and Toys,Boxed Games,3.17,6.89,48.23,22.19,26.04
377000,5,12-01-2016 00:00,25-02-2021 00:00,1589958,64,422,2,USD,Male,Eric Johnson,New York,New York,United States,North America,Adventure Works Desktop PC2.33 XD233 Black,Adventure Works,Computers,Desktops,321.05,969,1938,642.1,1295.9
377002,1,12-01-2016 00:00,25-02-2021 00:00,1897822,50,1612,1,USD,Female,Jessie Waddy,Jacksonville,Florida,United States,North America,SV DVD 12-Inch Player Portable M400 White,Southridge Video,"Music, Movies and Audio Books",Movie DVD,82.77,179.99,179.99,82.77,97.22
377002,2,12-01-2016 00:00,25-02-2021 00:00,1897822,50,858,1,USD,Female,Jessie Waddy,Jacksonville,Florida,United States,North America,Contoso Wireless Notebook Optical Mouse M35 Black,Contoso,Computers,Computers Accessories,13.77,29.95,29.95,13.77,16.18
377002,3,12-01-2016 00:00,25-02-2021 00:00,1897822,50,1595,2,USD,Female,Jessie Waddy,Jacksonville,Florida,United States,North America,SV DVD 60 DVD Storage Binder L20 Red,Southridge Video,"Music, Movies and Audio Books",Movie DVD,7.58,22.89,45.78,15.16,30.62
377003,1,12-01-2016 00:00,24-02-2021 00:00,1129200,40,1942,6,GBP,Male,Ellis Davidson,TOCHER,Aberdeenshire,United Kingdom,Europe,Litware Refrigerator 4.6CuFt E280 White,Litware,Home Appliances,Refrigerators,152.94,299.99,1799.94,917.64,882.3
